;LogisticRegressionCV;DecisionTreeClassifier;SVC;XGBClassifier;MLPClassifier;RandomForestClassifier
224;0;3;10;7;0;17
225;0;1;10;7;0;10
226;0;2;0;7;0;12
227;0;2;0;8;0;12
228;0;2;0;5;0;10
229;0;1;0;8;0;13
230;0;1;0;8;0;10
231;0;2;0;6;0;8
232;0;2;0;6;0;8
233;0;2;0;8;0;10
234;0;2;0;8;0;10
235;0;1;0;7;0;8
236;0;1;0;5;0;11
237;0;1;0;5;0;13
238;0;2;0;4;0;14
239;0;2;0;8;0;6
240;0;2;0;7;0;8
241;0;2;0;7;0;8
242;0;2;0;6;0;10
243;0;3;0;4;0;12
244;0;1;0;5;0;9
245;0;2;0;5;0;8
246;0;1;0;4;0;6
247;0;1;10;7;0;8
248;0;1;0;8;0;9
249;0;2;0;8;0;13
250;0;2;10;8;0;11
251;0;2;10;8;0;13
252;0;2;10;7;0;11
253;0;2;10;7;0;11
254;0;2;10;5;0;11
255;0;2;10;6;0;13
256;0;1;10;4;0;12
257;0;0;10;5;0;10
258;0;0;10;6;0;11
259;0;1;0;8;0;15
260;0;2;0;6;0;10
261;0;3;0;8;0;13
262;0;0;0;8;0;5
263;0;0;0;7;0;12
264;0;0;0;9;0;10
265;0;0;0;7;0;9
266;0;0;0;7;0;9
267;0;1;0;6;0;4
268;0;1;0;6;0;4
269;0;2;0;7;0;9
270;0;2;0;9;0;7
271;0;2;0;6;0;12
272;0;2;0;6;0;12
273;0;1;0;8;0;10
274;0;1;0;8;0;10
275;0;1;10;10;0;12
276;0;1;10;10;0;12
277;0;1;10;7;0;9
278;0;1;10;6;0;11
279;0;2;10;7;0;16
280;0;1;10;5;0;11
281;0;1;9;5;0;10
282;0;2;10;4;0;11
283;0;0;10;10;0;11
284;0;1;9;8;0;12
285;0;2;0;8;0;14
286;0;2;0;8;0;14
287;0;0;0;11;0;10
288;0;0;0;11;0;10
289;0;1;2;8;0;5
290;0;2;2;12;0;12
291;0;1;10;7;0;16
292;0;1;10;8;0;15
293;0;1;10;9;0;12
294;0;1;10;9;0;12
295;0;1;0;8;0;13
296;0;0;0;10;0;11
297;0;2;0;6;0;8
298;0;2;0;5;0;11
299;0;1;0;6;0;13
300;0;3;0;8;0;12
301;0;3;0;8;0;10
302;0;2;10;6;0;15
303;0;1;10;6;0;10
304;0;1;10;9;0;19
305;0;1;10;9;0;19
306;0;2;10;9;0;15
307;0;2;10;5;0;18
308;0;1;10;5;0;9
309;0;2;10;8;0;12
310;0;1;10;9;0;12
311;0;2;0;9;0;8
312;0;2;0;9;0;8
313;0;2;3;8;0;12
314;0;2;3;8;0;12
315;0;2;3;7;0;9
316;0;2;3;7;0;9
317;0;1;3;8;0;9
318;0;1;3;8;0;9
319;0;2;3;6;0;7
320;0;2;3;6;0;7
321;0;2;3;7;0;6
322;0;2;3;7;0;6
323;0;1;10;7;0;8
324;0;1;9;7;0;12
325;0;1;9;6;0;11
326;0;1;9;7;0;11
327;0;1;9;5;0;9
328;0;1;9;5;0;9
329;0;2;9;7;0;14
330;0;2;9;8;0;13
331;0;1;9;6;0;11
332;0;1;10;5;0;11
333;0;1;0;7;0;8
334;0;2;0;4;0;12
335;0;1;0;5;0;13
336;0;1;0;5;0;7
337;0;2;0;6;0;13
338;0;1;0;5;0;7
339;0;1;0;5;0;7
340;0;2;3;6;0;11
341;0;2;3;6;0;8
342;0;1;3;5;0;9
343;0;2;3;5;0;8
344;0;1;9;7;0;16
345;0;1;9;5;0;10
346;0;2;10;6;0;13
347;0;2;10;6;0;13
348;0;1;10;7;0;11
349;0;1;10;8;0;11
350;0;1;10;8;0;11
351;0;1;10;9;0;13
352;0;3;10;6;0;9
353;0;1;10;6;0;10
354;0;1;10;9;0;11
355;0;0;10;8;0;12
356;0;2;10;11;0;9
357;0;1;0;9;0;14
358;0;1;0;9;0;14
359;0;2;0;5;0;8
360;0;2;0;8;0;11
361;0;2;0;8;0;11
362;0;2;0;6;0;12
363;0;2;0;6;0;12
364;0;2;0;7;0;10
365;0;2;0;7;0;10
366;0;2;0;8;0;9
367;0;1;0;6;0;12
368;0;1;0;7;0;12
369;0;2;0;5;0;12
370;0;2;0;5;0;12
371;0;2;0;6;0;9
372;0;1;0;6;0;11
373;0;1;0;6;0;11
374;0;2;0;5;0;8
375;0;2;0;5;0;8
376;0;1;0;8;0;9
377;0;2;0;6;0;11
378;0;2;0;5;0;13
379;0;1;0;6;0;12
380;0;1;0;6;0;18
381;0;2;0;5;0;7
382;0;1;0;6;0;11
383;0;1;0;7;0;12
384;0;1;0;7;0;12
385;0;1;0;6;0;12
386;0;2;0;10;0;7
387;0;2;0;7;0;11
388;0;2;10;5;0;9
389;0;2;10;6;0;7
390;0;1;10;8;0;7
391;0;1;10;8;0;13
392;0;2;7;5;0;9
393;0;2;10;7;0;12
394;0;2;10;7;0;12
395;0;2;10;6;0;12
396;0;1;0;6;0;8
397;0;1;0;6;0;8
398;0;2;0;7;0;10
399;0;1;0;6;0;10
400;0;1;3;6;0;8
401;0;1;3;7;0;10
402;0;1;3;7;0;11
403;0;1;3;6;0;10
404;0;2;3;7;0;8
405;0;2;3;9;0;8
406;0;2;3;8;0;7
407;0;2;3;8;0;7
408;0;1;8;6;0;10
409;0;1;8;6;0;10
410;0;1;7;7;0;8
411;0;2;8;7;0;12
412;0;1;8;8;0;7
413;0;1;8;8;0;12
414;0;2;9;8;0;11
415;0;0;8;8;0;9
416;0;1;9;9;0;10
417;0;2;8;11;0;7
418;0;2;2;7;0;9
419;0;1;2;7;0;9
420;0;1;2;6;0;8
421;0;2;2;6;0;10
422;0;1;2;7;0;8
423;0;1;2;9;0;9
424;0;2;0;7;0;10
425;0;2;3;5;0;12
426;0;0;10;9;0;7
427;0;1;0;8;0;11
428;0;2;0;6;0;12
429;0;2;0;7;0;10
430;0;2;0;7;0;10
431;0;1;10;7;0;14
432;0;1;10;7;0;14
433;0;1;10;8;0;15
434;0;1;10;7;0;13
435;0;1;10;7;0;13
436;0;1;10;11;0;9
437;0;1;10;11;0;9
438;0;2;9;11;0;7
439;0;2;0;7;0;12
440;0;2;0;7;0;13
441;0;3;0;7;0;16
442;0;1;0;9;0;10
443;0;1;10;6;0;11
444;0;2;10;7;0;14
445;0;2;10;7;0;14
446;0;2;10;9;0;11
447;0;2;10;6;0;9
448;0;2;10;6;0;9
449;0;1;10;7;0;12
450;0;1;10;7;0;15
451;0;2;9;7;0;13
452;0;2;0;6;0;11
453;0;2;10;9;0;7
454;0;1;10;6;0;11
455;0;1;10;6;0;10
456;0;1;10;6;0;13
457;0;1;10;6;0;11
458;0;2;10;6;0;10
459;0;1;0;9;0;6
460;0;1;0;9;0;8
461;0;2;0;9;0;11
462;0;2;0;9;0;10
463;0;2;0;7;0;13
464;0;1;0;8;0;10
465;0;1;0;8;0;10
466;0;2;0;8;0;11
467;0;2;3;5;0;16
468;0;1;3;6;0;15
469;0;2;3;6;0;13
470;0;1;3;8;0;12
471;0;1;3;7;0;12
472;0;3;3;6;0;16
473;0;1;3;6;0;12
474;0;2;3;5;0;10
475;0;2;0;8;0;9
476;0;1;0;6;0;9
477;0;1;10;11;0;12
478;0;1;10;9;0;12
479;0;3;10;10;0;13
480;0;2;10;8;0;11
481;0;2;10;8;0;17
482;0;2;0;10;0;8
483;0;1;0;7;0;11
484;0;2;0;6;0;12
485;0;1;0;8;0;9
486;0;1;0;10;0;10
487;0;1;0;9;0;12
488;0;2;0;8;0;11
489;0;2;0;7;0;11
490;0;1;0;8;0;7
491;0;1;0;7;0;8
492;0;1;0;7;0;9
493;0;2;0;8;0;8
494;0;2;0;7;0;5
495;0;2;0;5;0;6
496;0;2;0;6;0;9
497;0;2;10;10;0;10
498;0;2;10;9;0;13
499;0;2;10;11;0;17
500;0;2;10;11;0;17
501;0;3;10;10;0;16
502;0;3;10;8;0;11
503;0;0;10;9;0;9
504;0;0;10;9;0;9
505;0;2;10;6;0;11
506;0;2;9;7;0;14
507;0;1;9;7;0;13
508;0;2;10;8;0;12
509;0;1;10;7;0;10
510;0;1;10;7;0;10
511;0;2;10;8;0;15
512;0;2;10;9;0;16
513;0;2;10;8;0;12
514;0;2;10;8;0;12
515;0;1;10;10;0;12
516;0;1;10;10;0;12
517;0;1;10;8;0;14
518;0;1;10;8;0;14
519;0;2;10;6;0;13
520;0;1;10;6;0;9
521;0;1;10;6;0;9
522;0;1;10;5;0;11
523;0;2;10;8;0;9
524;0;1;10;11;0;9
525;0;1;10;11;0;9
526;0;1;10;8;0;9
527;0;1;0;9;0;9
528;0;1;0;9;0;9
529;0;1;0;5;0;7
530;0;1;0;5;0;7
531;0;1;0;7;0;9
532;0;1;0;7;0;9
533;0;3;0;6;0;9
534;0;3;0;6;0;9
535;0;2;0;8;0;11
536;0;2;0;8;0;11
537;0;2;0;10;0;11
538;0;2;0;10;0;11
539;0;3;0;10;0;16
540;0;3;0;10;0;16
541;0;2;0;9;0;12
542;0;2;0;9;0;12
543;0;2;0;8;0;17
544;0;2;0;8;0;17
545;0;3;0;9;0;15
546;0;3;0;9;0;15
547;0;3;0;9;0;11
548;0;2;0;9;0;11
549;0;3;0;9;0;13
550;0;1;0;8;0;12
551;0;1;0;8;0;12
552;0;1;0;6;0;9
553;0;3;9;10;0;8
554;0;3;9;10;0;8
555;0;1;8;6;0;8
556;0;1;0;8;0;5
557;0;3;9;8;0;15
558;0;1;9;7;0;12
559;0;1;9;8;0;14
560;0;0;0;8;0;10
561;0;2;0;8;0;11
562;0;2;0;9;0;8
563;0;3;0;6;0;7
564;0;2;0;7;0;8
565;0;2;0;9;0;7
566;0;2;0;8;0;5
567;0;2;0;7;0;7
568;0;2;0;6;0;7
569;0;2;0;6;0;11
570;0;2;0;7;0;10
571;0;2;0;8;0;5
572;0;2;10;7;0;12
573;0;1;10;8;0;9
574;0;1;9;9;0;10
575;0;0;10;5;0;13
576;0;1;10;4;0;11
577;0;2;0;8;0;9
578;0;0;0;9;0;10
579;0;1;0;6;0;8
580;0;1;0;8;0;12
581;0;1;0;6;0;11
582;0;1;0;7;0;9
583;0;1;0;7;0;9
584;0;2;0;8;0;13
585;0;2;0;9;0;10
586;0;2;0;9;0;11
587;0;2;0;8;0;9
588;0;2;10;7;0;11
589;0;2;10;7;0;9
590;0;2;10;7;0;9
591;0;0;0;8;0;11
592;0;0;0;8;0;11
593;0;2;10;7;0;11
594;0;2;10;9;0;13
595;0;0;10;8;0;11
596;0;2;0;9;0;14
597;0;2;0;9;0;10
598;0;3;0;10;0;10
599;0;2;0;9;0;10
600;0;1;0;7;0;6
601;0;2;0;9;0;10
602;0;2;0;9;0;10
603;0;2;9;7;0;10
604;0;2;9;7;0;10
605;0;2;9;7;0;10
606;0;1;9;8;0;8
607;0;1;0;8;0;13
608;0;2;0;7;0;14
609;0;2;0;7;0;14
610;0;2;0;10;0;7
611;0;1;0;7;0;9
612;0;0;0;6;0;8
613;0;0;0;6;0;8
614;0;1;10;8;0;14
615;0;2;10;7;0;12
616;0;2;10;8;0;14
617;0;2;0;8;0;11
618;0;3;0;10;0;14
619;0;3;0;11;0;8
620;0;2;0;11;0;12
621;0;2;0;6;0;6
622;0;2;0;6;0;8
623;0;3;0;11;0;5
624;0;3;0;11;0;5
625;0;3;0;10;0;7
626;0;3;0;10;0;7
627;0;2;0;9;0;7
628;0;3;0;8;0;8
629;0;2;0;7;0;7
630;0;2;0;6;0;8
631;0;2;1;9;0;7
632;0;2;1;7;0;8
633;0;1;0;4;0;10
634;0;3;0;8;0;16
635;0;3;0;9;0;12
636;0;3;0;9;0;16
637;0;3;0;8;0;14
638;0;2;0;7;0;10
639;0;2;0;7;0;10
640;0;1;0;6;0;10
641;0;1;0;6;0;10
642;0;3;0;6;0;19
643;0;3;0;6;0;12
644;0;1;0;7;0;11
645;0;1;0;12;0;11
646;0;1;0;12;0;11
647;0;2;0;6;0;14
648;0;3;0;5;0;15
649;0;2;0;8;0;13
650;0;3;0;7;0;11
651;0;3;0;6;0;14
652;0;1;0;8;0;10
653;0;2;0;6;0;12
654;0;3;0;8;0;11
655;0;2;0;6;0;8
656;0;2;0;6;0;8
657;0;2;0;6;0;11
658;0;3;0;7;0;12
659;0;2;0;7;0;13
660;0;3;0;7;0;11
661;0;3;0;7;0;13
662;0;2;0;13;0;9
663;0;1;1;8;0;10
664;0;3;1;7;0;10
665;0;3;1;8;0;13
666;0;2;0;8;0;11
667;0;2;1;8;0;8
668;0;2;1;8;0;9
669;0;2;1;8;0;9
670;0;2;1;8;0;11
671;0;2;1;8;0;11
672;0;2;1;8;0;9
673;0;2;1;8;0;9
674;0;2;1;8;0;10
675;0;2;1;8;0;10
676;0;2;1;9;0;9
677;0;2;1;8;0;14
678;0;2;1;9;0;13
679;0;2;1;9;0;13
680;0;2;1;8;0;11
681;0;2;1;8;0;11
682;0;3;1;8;0;17
683;0;2;1;8;0;8
684;0;2;1;7;0;9
685;0;2;1;8;0;7
686;0;3;1;9;0;14
687;0;2;1;8;0;10
688;0;2;1;8;0;10
689;0;1;2;9;0;9
690;0;0;2;10;0;12
691;0;2;2;12;0;12
692;0;2;2;7;0;10
693;0;1;3;9;0;13
694;0;1;2;7;0;17
695;0;1;1;11;0;15
696;0;2;0;8;0;12
697;0;3;0;10;0;11
698;0;3;0;8;0;12
699;0;1;10;7;0;11
700;0;1;10;10;0;15
701;0;2;9;8;0;11
702;0;2;9;10;0;12
703;0;2;9;9;0;10
704;0;2;0;10;0;17
705;0;1;0;6;0;9
706;0;1;0;6;0;11
707;0;1;0;7;0;8
708;0;1;0;7;0;8
709;0;2;0;8;0;9
710;0;3;0;7;0;16
711;0;2;0;9;0;5
712;0;2;0;8;0;7
713;0;2;0;7;0;16
714;0;1;0;7;0;8
715;0;1;0;7;0;8
716;0;2;0;6;0;11
717;0;2;0;6;0;11
718;0;2;0;5;0;9
719;0;3;0;10;0;18
720;0;3;0;8;0;9
721;0;2;0;9;0;13
722;0;2;0;8;0;10
723;0;3;0;8;0;7
724;0;3;0;7;0;11
