;LogisticRegressionCV;DecisionTreeClassifier;SVC;XGBClassifier;MLPClassifier;RandomForestClassifier
count;6186.0;6186.0;6186.0;6186.0;6186.0;6186.0
mean;0.0;1.395408988037504;2.6660200452634983;7.1181700614290335;0.0;9.306498545101842
std;0.0;0.7598269827375714;4.193038026567565;1.9992972769127042;0.0;2.9208053827377363
min;0.0;0.0;0.0;1.0;0.0;1.0
25%;0.0;1.0;0.0;6.0;0.0;7.0
50%;0.0;1.0;0.0;7.0;0.0;9.0
75%;0.0;2.0;5.0;8.0;0.0;11.0
max;0.0;4.0;14.0;15.0;0.0;23.0
